probability	surf_min	surf_max	surf_optimalScore	surf_plus	surf_humanRelation	surf_raw_min	surf_raw_max	speed	direction	directionType	gust	optimalScore	temperature	condition	pressure
	0.9	1.4	2	False	Waist to shoulder	0.8093999999999999	1.2715999999999998	12.78541	281.99274	Onshore	12.78541	0	9.79999	NIGHT_MIST	1016
	0.9	1.5	2	False	Waist to head	0.9302333333333334	1.3816	13.28375	282.09564	Onshore	13.32	0	9.73001	NIGHT_MIST	1016
	0.9	1.5	2	False	Waist to head	0.9510666666666667	1.4116	12.06298	276.05859	Onshore	12.06298	0	9.52997	NIGHT_MIST	1016
	0.9	1.4	2	False	Waist to shoulder	0.9018999999999999	1.3516	11.82917	273.80837	Onshore	11.82917	0	9.37003	NIGHT_MIST	1016
	0.9	1.4	2	False	Waist to shoulder	0.8727333333333334	1.3216	12.13789	274.94844	Onshore	12.13789	0	9.13	NIGHT_MIST	1016
	0.9	1.4	2	False	Waist to shoulder	0.9135666666666666	1.3716	13.17723	279.34559	Onshore	13.17723	0	8.48001	NIGHT_MIST	1016
	0.9	1.4	2	False	Waist to shoulder	0.9144	1.3716	12.08513	274.0575	Onshore	12.08513	0	8.12	MIST	1016
	0.9	1.4	2	False	Waist to shoulder	0.9144	1.3716	12.24345	269.5467	Onshore	12.24345	0	8.06	MIST	1017
	0.9	1.5	2	False	Waist to head	1.0304	1.4956	13.03462	267.56577	Onshore	13.03462	0	7.88	MIST	1017
	0.9	1.5	2	False	Waist to head	0.9964	1.4496	14.35516	267.37362	Onshore	14.4	0	7.44	MIST	1018
	0.9	1.5	2	False	Waist to head	0.9423999999999999	1.3936	14.81545	264.62706	Onshore	15.12	0	7.51001	MIST	1018
	0.9	1.4	2	False	Waist to shoulder	0.8884	1.3376000000000001	15.62078	257.88632	Onshore	15.62078	0	7.51001	MIST	1018
	0.9	1.4	2	False	Waist to shoulder	0.9144	1.3716	16.97143	259.4498	Onshore	17.28	0	7.87003	MIST	1018
	0.9	1.5	2	False	Waist to head	0.9777333333333333	1.4803333333333333	18.28371	262.1658	Onshore	19.08	0	8.16	MIST	1017
	1.2	1.5	2	False	Chest to head	1.0810666666666666	1.4990666666666668	18.61892	260.13489	Onshore	19.44	0	8.56	MIST	1017
	0.9	1.5	2	False	Waist to head	1.0344	1.5078	19.66002	264.47283	Onshore	20.88	0	8.94	MIST	1017
	0.9	1.5	2	False	Waist to head	0.9977333333333332	1.5065333333333333	23.28469	273.29276	Onshore	25.92	0	9.01001	MIST	1016
	1.2	1.8	2	False	Chest to overhead	0.9910666666666667	1.5552666666666668	24.97044	276.12541	Onshore	28.8	0	9.13	MIST	1016
	0.9	1.5	2	False	Waist to head	0.9144	1.524	25.83939	278.52285	Onshore	29.88	0	9.13	MIST	1016
	0.9	1.5	2	False	Waist to head	0.9194	1.5063	24.21269	277.73816	Onshore	27.72	0	8.92999	MIST	1016
	0.9	1.5	2	False	Waist to head	0.8644	1.4285999999999999	23.37694	276.75863	Onshore	28.44	0	8.82001	MIST	1016
	0.9	1.5	2	False	Waist to head	0.9094	1.4508999999999999	23.0877	274.70127	Onshore	27.36	0	8.69	NIGHT_MIST	1016
	0.9	1.5	2	False	Waist to head	0.9644	1.5032	23.12801	277.2023	Onshore	27.72	0	8.55997	NIGHT_MIST	1016
	0.9	1.5	2	False	Waist to head	0.8894	1.5055	24.1981	282.78474	Onshore	28.44	0	8.41998	NIGHT_MIST	1016
